Ensembl_Gene_ID,ms_restriction,ms_healthy_somatic_tissues,ms_pmids
ENSG00000184507,CANCER_ONLY,,24714562;30192525;31848261;32387766;32488085;33968037;35051231
ENSG00000164304,CANCER_ONLY,,31217245;31530632;35051231
ENSG00000234068,CANCER_ONLY,,31217245;32157095;32938616;37938771
ENSG00000238269,CANCER_ONLY,,31217245;32157095;32938616;37938771
ENSG00000158639,CANCER_ONLY,,27600516;32157095;32488085;32938616;33968037;37938771
ENSG00000204379,CANCER_ONLY,,27600516;32157095;32387766;32938616;35580925;38480730
ENSG00000204382,CANCER_ONLY,,27600516;32157095;32387766;32938616;35580925;38480730
ENSG00000171402,SINGLETON_HEALTHY,esophagus,31844290;33858848
ENSG00000189064,EXPECTED_TISSUE,,27869121;33858848
ENSG00000224902,CANCER_ONLY,,27600516;27869121;32157095
ENSG00000224659,CANCER_ONLY,,27869121;32157095
ENSG00000216649,CANCER_ONLY,,27600516;27869121;32157095
ENSG00000274274,EXPECTED_TISSUE,,27600516;27869121;32157095;33858848
ENSG00000198681,RECURRENT_HEALTHY,central nervous system (cns);cerebellum;heart,10940919;15537658;19177349;22869377;23481700;24715725;25576301;25645385;25854582;26154972;26768311;26783342;26992070;27600516;27869121;27920218;28228285;28855257;28904123;29393594;29557506;29786170;31222486;31495665;31530632;31844290;31848261;31937595;32157095;32161166;32265295;32387766;32488085;32938616;33141586;33298915;33592498;33691108;33858848;34211107;34290406;35051231;36010968;36215666;36241641;36589698;38480730;38740147;39394480
ENSG00000268606,CANCER_ONLY,,23246542;24366607;25645385;25854582;25892735;26154972;27600516;27846572;27869121;27920218;29393594;29549963;30779550;31495665;31530632;31844290;32157095;32265295;32387766;32488085;32897882;32938616;33141586;33298915;33968037;34171305;34211107;34290406;35051231;35318648;36010968;36241641;37649599;38480730;39394480
ENSG00000147381,RECURRENT_HEALTHY,blood;heart,11502003;25645385;25892735;26154972;27600516;27869121;27920218;28228285;29786170;31222486;31495665;31844290;32157095;32532817;32938616;32983136;33858848;34290406;34405274;36010968;36589698;37100770;38480730;38920720;39394480
ENSG00000197172,CANCER_ONLY,,24366607;25645385;25854582;25892735;26154972;26783342;27600516;27846572;27869121;27920218;28228285;28904123;29393594;29769354;30315122;30484775;30779550;30833945;31495665;31530632;31844290;32157095;32161166;32265295;32357974;32387766;32488085;32938616;33141586;33298915;33912179;33968037;34171305;34211107;34290406;35051231;36010968;36215666;36241641;36589698;37649599;38480730;38740147;39394480;40113210
ENSG00000221867,EXPECTED_TISSUE,,10540322;11502003;12947009;24366607;24715725;25576301;25645385;25854582;25880248;25892735;26154972;26758806;26783342;27600516;27869121;27920218;28218747;28228285;28904123;29393594;29437277;29769354;30192525;30315122;30410026;30484775;30524438;30779550;30833945;31222486;31530632;31844290;32157095;32161166;32265295;32357974;32387766;32488085;32938616;33141586;33298915;33912179;33968037;33981976;34171305;34211107;34290406;35051231;36010968;36215666;36241641;36589698;37649599;38480730;38740147;39394480;40008881
ENSG00000123584,CANCER_ONLY,,25645385;25892735;28218747;28228285;29437277;30315122;30410026;31217245;31844290;32157095;32357974;32938616;33298915;34290406;36010968;36241641;36589698;37649599;38480730
ENSG00000267978,CANCER_ONLY,,25645385;25892735;28218747;28228285;29437277;30315122;30410026;31217245;31844290;32157095;32357974;32938616;33298915;34290406;36010968;36241641;36589698;37649599;38480730
ENSG00000124260,SINGLETON_HEALTHY,pancreas,11502003;25645385;25892735;26154972;27869121;28904123;29242379;29557506;31222486;31844290;32938616;33141586;33858848;34171305;34405274;35851311;36010968;37649599;38480730;39394480
ENSG00000214107,SINGLETON_HEALTHY,bone marrow,25645385;30779550;33691108;33858848;35051231;36589698;39394480
ENSG00000099399,CANCER_ONLY,,11782012;19748539;25576301;25645385;26768311;26783342;26992070;27600516;28834231;29930882;30524438;30779550;31848261;32157095;32387766;32488085;32897882;32938616;33141586;33392160;33592498;33968037;33981976;34171305;34509645;35051231;36010968;36215666;36241641;37938771;38480730
ENSG00000189023,CANCER_ONLY,,32938616;34171305
ENSG00000176774,SINGLETON_HEALTHY,bone marrow,23481700;29331515;29769354;32938616;33858848
ENSG00000155495,RECURRENT_HEALTHY,blood;central nervous system (cns);heart,25892735;26154972;27600516;27869121;29393594;29557506;32157095;32488085;32938616;33141586;33858848;33968037;34561969;35051231;36010968;38480730;39394480
ENSG00000046774,SINGLETON_HEALTHY,central nervous system (cns),24715725;25645385;25892735;26992070;27600516;27869121;29331515;29557506;31222486;31844290;31887370;31937595;32488085;32938616;33968037;34290406;34405274;35051231;35318648;36010968;36589698;38480730;39394480;40008881
ENSG00000188120,NO_MS_DATA,,31217245;35051231
ENSG00000187191,NO_MS_DATA,,31217245;35051231
ENSG00000092345,CANCER_ONLY,,31217245;32157095;33912179
ENSG00000198021,SINGLETON_HEALTHY,muscle,21993680;26758079;30192525;31844290;32488085;32938616;33858848;33968037;34087483;34561969
ENSG00000203926,SINGLETON_HEALTHY,muscle,21993680;26758079;30192525;31844290;32488085;32938616;33858848;33968037;34087483;34561969
ENSG00000227234,CANCER_ONLY,,21993680;26992070;30833945;31844290;32488085;32938616;33968037;34087483;34171305;34561969
ENSG00000198573,SINGLETON_HEALTHY,muscle,21993680;26758079;30192525;31844290;32488085;32938616;33858848;33968037;34087483;34561969
