gene_id,symbol,cancer,cancer_type,cohort,samples,mean_ptpm,max_ptpm,expressed_samples_ptpm_ge_0_1,prevalence_ptpm_ge_0_1,expressed_samples_ptpm_ge_1,prevalence_ptpm_ge_1,expressed_samples_ptpm_ge_2,prevalence_ptpm_ge_2,expressed_samples_ptpm_ge_5,prevalence_ptpm_ge_5
ENSG00000006047,YBX2,Bladder Urothelial Carcinoma (TCGA),Bladder Urothelial Carcinoma,TCGA,169,0.629314201183432,12.9212,72,0.4260355029585799,23,0.136094674556213,17,0.1005917159763313,5,0.029585798816568
ENSG00000006047,YBX2,Breast Invasive Carcinoma (TCGA),Breast Invasive Carcinoma,TCGA,1022,2.7212909980430555,44.1181,977,0.9559686888454012,665,0.6506849315068494,419,0.4099804305283757,156,0.1526418786692759
ENSG00000006047,YBX2,Breast Invasive Carcinoma (validation),Breast Invasive Carcinoma,validation,50,19.791018,63.9126,50,1.0,50,1.0,49,0.98,44,0.88
ENSG00000006047,YBX2,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,TCGA,283,6.727067491166076,55.8269,248,0.8763250883392226,216,0.7632508833922261,181,0.6395759717314488,121,0.4275618374558304
ENSG00000006047,YBX2,Colon Adenocarcinoma (TCGA),Colon Adenocarcinoma,TCGA,254,3.856309448818895,21.4857,254,1.0,223,0.8779527559055118,177,0.6968503937007874,64,0.2519685039370078
ENSG00000006047,YBX2,Colon Adenocarcinoma (validation),Colon Adenocarcinoma,validation,486,3.9211641975308633,27.6179,481,0.9897119341563786,437,0.8991769547325102,376,0.7736625514403292,119,0.2448559670781893
ENSG00000006047,YBX2,Glioblastoma Multiforme (TCGA),Glioblastoma Multiforme,TCGA,141,0.3562092198581561,3.7024,107,0.7588652482269503,7,0.0496453900709219,3,0.0212765957446808,0,0.0
ENSG00000006047,YBX2,Glioblastoma Multiforme (validation),Glioblastoma Multiforme,validation,58,0.3689586206896552,2.0221,43,0.7413793103448276,5,0.0862068965517241,1,0.0172413793103448,0,0.0
ENSG00000006047,YBX2,Head and Neck Squamous Cell Carcinoma (TCGA),Head and Neck Squamous Cell Carcinoma,TCGA,492,1.1473713414634157,16.8709,308,0.6260162601626016,130,0.2642276422764227,77,0.1565040650406504,28,0.056910569105691
ENSG00000006047,YBX2,Kidney Chromophobe (TCGA),Kidney Chromophobe,TCGA,64,4.042918749999999,26.352,59,0.921875,48,0.75,28,0.4375,18,0.28125
ENSG00000006047,YBX2,Kidney Renal Clear Cell Carcinoma (TCGA),Kidney Renal Clear Cell Carcinoma,TCGA,521,0.633608445297505,9.7146,419,0.8042226487523992,99,0.1900191938579654,27,0.0518234165067178,5,0.0095969289827255
ENSG00000006047,YBX2,Kidney Renal Clear Cell Carcinoma (validation),Kidney Renal Clear Cell Carcinoma,validation,100,0.5996919999999999,5.5916,81,0.81,15,0.15,6,0.06,1,0.01
ENSG00000006047,YBX2,Kidney Renal Papillary Cell Carcinoma (TCGA),Kidney Renal Papillary Cell Carcinoma,TCGA,282,1.1253765957446815,29.0556,179,0.6347517730496454,60,0.2127659574468085,32,0.1134751773049645,17,0.0602836879432624
ENSG00000006047,YBX2,Liver Hepatocellular Carcinoma (TCGA),Liver Hepatocellular Carcinoma,TCGA,362,1.3864837016574587,73.8392,255,0.7044198895027625,110,0.3038674033149171,62,0.1712707182320442,21,0.0580110497237569
ENSG00000006047,YBX2,Liver Hepatocellular Carcinoma (validation),Liver Hepatocellular Carcinoma,validation,231,5.868654112554106,73.6147,221,0.9567099567099568,117,0.5064935064935064,84,0.3636363636363636,55,0.238095238095238
ENSG00000006047,YBX2,Lung Adenocarcinoma (TCGA),Lung Adenocarcinoma,TCGA,497,1.4270464788732375,20.6803,350,0.704225352112676,173,0.3480885311871227,111,0.2233400402414486,36,0.0724346076458752
ENSG00000006047,YBX2,Lung Adenocarcinoma (validation),Lung Adenocarcinoma,validation,105,0.3315047619047617,3.2375,57,0.5428571428571428,7,0.0666666666666666,4,0.0380952380952381,0,0.0
ENSG00000006047,YBX2,Lung Squamous Cell Carcinoma (TCGA),Lung Squamous Cell Carcinoma,TCGA,489,1.1004235173824126,16.2264,417,0.852760736196319,142,0.2903885480572597,71,0.1451942740286298,21,0.0429447852760736
ENSG00000006047,YBX2,Lung Squamous Cell Carcinoma (validation),Lung Squamous Cell Carcinoma,validation,68,0.2437911764705883,1.8658,39,0.5735294117647058,3,0.0441176470588235,0,0.0,0,0.0
ENSG00000006047,YBX2,Ovary Serous Cystadenocarcinoma (TCGA),Ovary Serous Cystadenocarcinoma,TCGA,349,3.6345598853868184,35.6902,349,1.0,271,0.7765042979942693,208,0.5959885386819485,73,0.2091690544412607
